# AI Declaration: This script skeleton was generated with AI assistance and must be reviewed by the team.

request_id,cni,source_node,dest_node,payload_bytes,http_header_bytes,tcp_ip_header_bytes,total_packet_bytes,latency_ms,timestamp_offset_s
1,cilium,worker-1 (192.168.192.166),worker-2 (192.168.192.170),1024,400,54,1478,1.8743,0.0
2,cilium,worker-1 (192.168.192.166),worker-2 (192.168.192.170),1024,400,54,1478,1.6681,0.002
3,cilium,worker-1 (192.168.192.166),worker-2 (192.168.192.170),1024,400,54,1478,2.8735,0.004
4,cilium,worker-1 (192.168.192.166),worker-2 (192.168.192.170),1024,400,54,1478,2.1085,0.006
5,cilium,worker-1 (192.168.192.166),worker-2 (192.168.192.170),1024,400,54,1478,2.603,0.009
6,cilium,worker-1 (192.168.192.166),worker-2 (192.168.192.170),1024,400,54,1478,1.2113,0.011
7,cilium,worker-1 (192.168.192.166),worker-2 (192.168.192.170),1024,400,54,1478,2.8853,0.012
8,cilium,worker-1 (192.168.192.166),worker-2 (192.168.192.170),1024,400,54,1478,2.2352,0.015
9,cilium,worker-1 (192.168.192.166),worker-2 (192.168.192.170),1024,400,54,1478,2.5239,0.017
10,cilium,worker-1 (192.168.192.166),worker-2 (192.168.192.170),1024,400,54,1478,2.8691,0.02
11,cilium,worker-1 (192.168.192.166),worker-2 (192.168.192.170),1024,400,54,1478,1.1144,0.023
12,cilium,worker-1 (192.168.192.166),worker-2 (192.168.192.170),1024,400,54,1478,1.919,0.024
13,cilium,worker-1 (192.168.192.166),worker-2 (192.168.192.170),1024,400,54,1478,2.2911,0.026
14,cilium,worker-1 (192.168.192.166),worker-2 (192.168.192.170),1024,400,54,1478,2.9364,0.028
15,cilium,worker-1 (192.168.192.166),worker-2 (192.168.192.170),1024,400,54,1478,2.3893,0.031
16,cilium,worker-1 (192.168.192.166),worker-2 (192.168.192.170),1024,400,54,1478,2.2408,0.034
17,cilium,worker-1 (192.168.192.166),worker-2 (192.168.192.170),1024,400,54,1478,1.5287,0.036
18,cilium,worker-1 (192.168.192.166),worker-2 (192.168.192.170),1024,400,54,1478,2.1455,0.037
19,cilium,worker-1 (192.168.192.166),worker-2 (192.168.192.170),1024,400,54,1478,2.6235,0.039
20,cilium,worker-1 (192.168.192.166),worker-2 (192.168.192.170),1024,400,54,1478,1.7724,0.042
21,cilium,worker-1 (192.168.192.166),worker-2 (192.168.192.170),1024,400,54,1478,2.9916,0.044
22,cilium,worker-1 (192.168.192.166),worker-2 (192.168.192.170),1024,400,54,1478,1.3605,0.047
23,cilium,worker-1 (192.168.192.166),worker-2 (192.168.192.170),1024,400,54,1478,1.0771,0.048
24,cilium,worker-1 (192.168.192.166),worker-2 (192.168.192.170),1024,400,54,1478,2.4196,0.049
25,cilium,worker-1 (192.168.192.166),worker-2 (192.168.192.170),1024,400,54,1478,1.8339,0.052
26,cilium,worker-1 (192.168.192.166),worker-2 (192.168.192.170),1024,400,54,1478,0.8174,0.053
27,cilium,worker-1 (192.168.192.166),worker-2 (192.168.192.170),1024,400,54,1478,3.3837,0.054
28,cilium,worker-1 (192.168.192.166),worker-2 (192.168.192.170),1024,400,54,1478,1.6032,0.058
29,cilium,worker-1 (192.168.192.166),worker-2 (192.168.192.170),1024,400,54,1478,2.2468,0.059
